place_name,latitude,longitude,rating,review_text
"Kuilans",7.0790123,125.6082008,5,"Delicious SiaoPao = Steamed yeast bun . Filled with pork or chicken. Yummilicious. Ask for their LecheFlan : its 'hidden' in the fridge."
"Kuilans",7.0790123,125.6082008,3,"Ehh the food is okay but the price is 2x what it should be for the size and quality But my main issue is the staff. The lady working this location at lunch time on Feb 10 seemed so angry to even have to talk to me. I was in the shop less than a minute and couldn't wait to leave. Would have bought much more if she didn't roll her eyes and act angry for no reason."
"Kuilans",7.0790123,125.6082008,3,"Expensive for a small siopao. Tastes good though. But dont expect too much, you can find better Siopao somewhere. Its a good pasalubong though."
"Kuilans",7.0790123,125.6082008,5,"I really love their food, but their siopao price is getting increased"
"Kuilans",7.0790123,125.6082008,5,"Food was excellent. Service fast, knowledgeable and efficient. Though some customers were rather roudy."
"Kuilans",7.0790123,125.6082008,5,"Just love their siopao, bihon and their cheesy bun-something. 😅 …"
"Kuilans",7.0790123,125.6082008,5,"Superb filipino foods selection. Prices are cheap while quality is good."
"Kuilans",7.0790123,125.6082008,3,"Their siopao product is good and of reasonable price"
"Kuilans",7.0790123,125.6082008,5,"love their famous siopao!"
"Kuilans",7.0790123,125.6082008,4,"The best mini siopao in town..."
"Kuilans",7.0790123,125.6082008,5,"Nice siopao. A bit expensive.."
"Kuilans",7.0790123,125.6082008,4,""
"Kuilans",7.0790123,125.6082008,4,"Very delicious snacks"
"Kuilans",7.0790123,125.6082008,5,"Love it"
"Kuilans",7.0790123,125.6082008,5,""
"Kuilans",7.0790123,125.6082008,4,"The siopao is still delicious. It's just a little expensive."
"Kuilans",7.0790123,125.6082008,3,""
"Kuilans",7.0790123,125.6082008,1,""
"Kuilans",7.0790123,125.6082008,4,""
"Kuilans",7.0790123,125.6082008,5,""
"Kuilans",7.0790123,125.6082008,1,""
"Kuilans",7.0790123,125.6082008,5,""
"Kuilans",7.0790123,125.6082008,4,""
"Kuilans",7.0790123,125.6082008,5,""
