place_name,latitude,longitude,rating,review_text
"Into D' Woods",7.093582,125.4905396,5,"Good food, good pricing, super great coffee, better than the average coffee shops in downtown, freshly ground coffee each time. They will offer you fans to keep off the mosquitoes, and the living room vibe at the second floor is a good place for friends and meetings. There needs to be improved on dealing with insects during the night cause the lights attracts them, so maybe placing insect lamps surrounding the cafe will prevent them getting attracted by the lights inside. Overall it was good experience."
"Into D' Woods",7.093582,125.4905396,5,"The food is very excellent and a lot of choice's in d menu is Like Italian and american cuisine... We been all the alacarte restaurant here in Davao but into d woods is very different taste..."
"Into D' Woods",7.093582,125.4905396,4,"This is a good place to chill out, especially on a lazy afternoon. You can enjoy the cool breeze, perfect for those wfh individuals who want to escape from their four cornered rooms."
"Into D' Woods",7.093582,125.4905396,5,"Very yummy i orderd the shrimp tempura and pork katsu very crispy and super tasty"
"Into D' Woods",7.093582,125.4905396,5,"Very relaxing place suites with fams couples etc"
"Into D' Woods",7.093582,125.4905396,5,"A quiet and peaceful cafe."
"Into D' Woods",7.093582,125.4905396,5,"If food and vibe? This is the best taste in Mintal! As in! It's delicious, not overrated at all! Do not waste your hard earned money to overrated resto. Keep going 🫶 Go visit here! Thank youuuuu Kuya ✅ big serving ✅ best taste ✅ instagrammable (don't go in the rain) ✅ service (super friendly!)"
"Into D' Woods",7.093582,125.4905396,5,""
"Into D' Woods",7.093582,125.4905396,4,""
"Into D' Woods",7.093582,125.4905396,5,""
"Into D' Woods",7.093582,125.4905396,5,""
"Into D' Woods",7.093582,125.4905396,5,""
"Into D' Woods",7.093582,125.4905396,3,""
"Into D' Woods",7.093582,125.4905396,5,""
"Into D' Woods",7.093582,125.4905396,5,""
"Into D' Woods",7.093582,125.4905396,5,""
"Into D' Woods",7.093582,125.4905396,5,""
"Into D' Woods",7.093582,125.4905396,5,""
