place_name,latitude,longitude,rating,review_text
"Mille Matcha - DGT",7.0570294,125.5613334,4,"Tack this on to your list of matcha places when you find yourself in the South. Tranquil in the mornings. I don’t mind the limited menu. Drinks were deep and satisfying. Rates were justifiable. Hopefully, pastries would be inserted in the menu soon enough."
"Mille Matcha - DGT",7.0570294,125.5613334,4,"Food: (4.4/5) I love their midnight sunrise. The best citrus/coffee/soda mix I have tried. Truly refreshing. I'm not a fan of matcha - its a good thing they have coffee and non-coffee/matcha options. …"
"Mille Matcha - DGT",7.0570294,125.5613334,5,"The matcha was delicious, with a nutty and creamy profile. Our friends truly enjoyed the energy of the team behind the counter. We always value exceptional service, and it's the main reason we'll be returning to this cafe."
"Mille Matcha - DGT",7.0570294,125.5613334,5,"Great matcha. Nice place. Although air conditioning can be improved if the place is packed."
"Mille Matcha - DGT",7.0570294,125.5613334,5,"Houseblend and cotton candy matcha was to die for!"
"Mille Matcha - DGT",7.0570294,125.5613334,2,"Great matcha, probably one of the best in Davao. The interior looks nice, but the ambience needs work. The music was too loud and …"
"Mille Matcha - DGT",7.0570294,125.5613334,5,"Overall, it was a positive experience."
"Mille Matcha - DGT",7.0570294,125.5613334,5,"The only matcha bar we swear by!! They just opened this year but no doubt already on top. Prices are super reasonable for the quality! …"
"Mille Matcha - DGT",7.0570294,125.5613334,5,"This café is very aesthetic and has a spacious interior, making it a great place to hang out or relax. I tried their Cotton Candy Matcha, and I really enjoyed it! The flavor was good, and what stood out the most was the serving size—it was …"
"Mille Matcha - DGT",7.0570294,125.5613334,5,"Best matcha in Davao! Serves authentic ceremonial matcha - I like my matcha drink to be smooth and creamy."
"Mille Matcha - DGT",7.0570294,125.5613334,5,"They make good matcha. Better than the one next door. Ill keep coming back."
"Mille Matcha - DGT",7.0570294,125.5613334,5,"One of the Best Unsweetened Matcha Latte I've tasted... ("",)"
"Mille Matcha - DGT",7.0570294,125.5613334,5,""
"Mille Matcha - DGT",7.0570294,125.5613334,5,"Houseblend and cotton candy matcha was to die for!"
"Mille Matcha - DGT",7.0570294,125.5613334,5,"Overall, it was a positive experience."
"Mille Matcha - DGT",7.0570294,125.5613334,5,""
